stcofips,year,month,month_t,deviation
51155,2024,5,9,-73236.30564923616
51155,2024,5,10,-59231.891431410535
51155,2024,5,11,-67346.62593750755
51155,2024,5,12,-48665.6661945575
51155,2024,6,1,-32244.9641996134
51155,2024,6,2,-52182.75329768972
51155,2024,6,3,-60034.99475722105
51155,2024,6,4,-57253.38901803779
51155,2024,6,5,-64606.166391086415
51155,2024,6,6,-61275.96770922234
51155,2024,6,7,-63141.383362965775
51155,2024,6,8,-73236.30564923616
51155,2024,6,9,-59231.891431410535
51155,2024,6,10,-67346.62593750755
51155,2024,6,11,-48665.6661945575
51155,2024,6,12,-39686.97415255211
51157,2020,7,1,223093.1648582287
51157,2020,7,2,218323.2042422461
51157,2020,7,3,223573.36745943085
51157,2020,7,4,227171.43851363147
51157,2020,7,5,231178.05081406902
51157,2020,7,6,229011.81172351594
51157,2020,7,7,235011.59700506044
51157,2020,7,8,231667.83335655794
51157,2020,7,9,239031.99275343312
51157,2020,7,10,252993.93660893355
51157,2020,7,11,258110.02712052627
51157,2020,7,12,266947.95972352976
51157,2020,8,1,218323.2042422461
51157,2020,8,2,223573.36745943085
51157,2020,8,3,227171.43851363147
51157,2020,8,4,231178.05081406902
51157,2020,8,5,229011.81172351594
51157,2020,8,6,235011.59700506044
51157,2020,8,7,231667.83335655794
51157,2020,8,8,239031.99275343312
51157,2020,8,9,252993.93660893355
51157,2020,8,10,258110.02712052627
51157,2020,8,11,266947.95972352976
51157,2020,8,12,265556.1862155163
51157,2021,5,1,258110.02712052627
51157,2021,5,2,266947.95972352976
51157,2021,5,3,265556.1862155163
51157,2021,5,4,251957.85275752805
51157,2021,5,5,235725.32982112284
51157,2021,5,6,225848.10357542933
51157,2021,5,7,222320.09107091132
51157,2021,5,8,223435.3444583902
51157,2021,5,9,228458.98288492634
51157,2021,5,10,239132.73856091188
51157,2021,5,11,237462.6088415147
51157,2021,5,12,244534.40443610327
51157,2021,6,1,266947.95972352976
51157,2021,6,2,265556.1862155163
51157,2021,6,3,251957.85275752805
51157,2021,6,4,235725.32982112284
51157,2021,6,5,225848.10357542933
51157,2021,6,6,222320.09107091132
51157,2021,6,7,223435.3444583902
51157,2021,6,8,228458.98288492634
51157,2021,6,9,239132.73856091188
51157,2021,6,10,237462.6088415147
51157,2021,6,11,244534.40443610327
51157,2021,6,12,253887.73758289713
51157,2021,8,1,251957.85275752805
51157,2021,8,2,235725.32982112284
51157,2021,8,3,225848.10357542933
51157,2021,8,4,222320.09107091132
51157,2021,8,5,223435.3444583902
51157,2021,8,6,228458.98288492634
51157,2021,8,7,239132.73856091188
51157,2021,8,8,237462.6088415147
51157,2021,8,9,244534.40443610327
51157,2021,8,10,253887.73758289713
51157,2021,8,11,263653.5403671997
51157,2021,8,12,258734.5704067066
51157,2021,10,1,225848.10357542933
51157,2021,10,2,222320.09107091132
51157,2021,10,3,223435.3444583902
51157,2021,10,4,228458.98288492634
51157,2021,10,5,239132.73856091188
51157,2021,10,6,237462.6088415147
51157,2021,10,7,244534.40443610327
51157,2021,10,8,253887.73758289713
51157,2021,10,9,263653.5403671997
51157,2021,10,10,258734.5704067066
51157,2021,10,11,250102.4543878622
51157,2021,10,12,248494.7966157668
51157,2022,6,1,263653.5403671997
51157,2022,6,2,258734.5704067066
51157,2022,6,3,250102.4543878622
51157,2022,6,4,248494.7966157668
51157,2022,6,5,246422.5716758996
51157,2022,6,6,251025.14850101178
51157,2022,6,7,237838.5668821275
51157,2022,6,8,240446.30249699892
51157,2022,6,9,239278.0164647787
51157,2022,6,10,248561.7215678307
51157,2022,6,11,238141.33364056787
51157,2022,6,12,252504.55266659957
51157,2022,7,1,258734.5704067066
51157,2022,7,2,250102.4543878622
51157,2022,7,3,248494.7966157668
51157,2022,7,4,246422.5716758996
51157,2022,7,5,251025.14850101178
51157,2022,7,6,237838.5668821275
51157,2022,7,7,240446.30249699892
51157,2022,7,8,239278.0164647787
51157,2022,7,9,248561.7215678307
51157,2022,7,10,238141.33364056787
51157,2022,7,11,252504.55266659957
51157,2022,7,12,248196.1184096778
51157,2022,8,1,250102.4543878622
51157,2022,8,2,248494.7966157668
51157,2022,8,3,246422.5716758996
51157,2022,8,4,251025.14850101178
51157,2022,8,5,237838.5668821275
51157,2022,8,6,240446.30249699892
51157,2022,8,7,239278.0164647787
51157,2022,8,8,248561.7215678307
51157,2022,8,9,238141.33364056787
51157,2022,8,10,252504.55266659957
51157,2022,8,11,248196.1184096778
51157,2022,8,12,249058.394948778
51157,2022,12,1,237838.5668821275
51157,2022,12,2,240446.30249699892
51157,2022,12,3,239278.0164647787
51157,2022,12,4,248561.7215678307
51157,2022,12,5,238141.33364056787
51157,2022,12,6,252504.55266659957
