target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
13121,2021,7,3,"13143,13149,13149"
37049,2022,1,3,"37095,37095,37095"
17191,2021,8,2,"17079,17079"
37023,2022,5,1,37199
48001,2023,9,1,48455
18101,2024,6,1,18173
47025,2025,2,9,"21051,21095,21121,21131,21121,21125,21147,21147,21095"
48301,2024,5,2,"48109,48109"
22105,2025,5,3,"22093,28147,28147"
21089,2020,2,1,21063
49017,2020,7,2,"32017,32017"
13001,2021,6,6,"13209,13309,13107,13107,13209,13283"
50021,2020,5,2,"50017,50017"
22001,2022,10,1,22077
25005,2021,6,1,25019
37143,2023,6,2,"37091,37091"
45073,2022,6,7,"13011,13195,13011,13281,13195,13281,13011"
05017,2022,7,4,"22083,22083,22083,28027"
29047,2021,8,2,"29107,29107"
51029,2021,7,1,51540
16005,2023,6,4,"49005,49033,49003,49005"
26057,2020,7,1,26133
13305,2023,12,2,"13279,13279"
51141,2021,7,2,"51640,51690"
30031,2024,7,1,30023
47017,2021,7,5,"47083,47071,47023,47071,47023"
36013,2025,6,5,"36037,36063,39007,42039,42039"
27073,2022,9,4,"27155,27081,27083,27081"
17073,2024,7,2,"17123,17123"
29041,2025,6,5,"29025,29025,29061,29137,29137"
36021,2022,4,1,36079
31021,2022,7,5,"19093,19193,19193,31043,31051"
17145,2023,6,1,29186
42129,2024,8,2,"54051,54069"
51075,2024,8,2,"51570,51670"
29027,2022,3,4,"29135,29135,29073,29073"
42105,2023,7,1,42093
51073,2022,6,1,51735
29219,2020,7,3,"17013,17013,17083"
38057,2023,8,1,38083
48405,2025,5,2,"48225,48455"
31107,2023,3,9,"31103,46027,31103,46067,46015,46067,46027,46067,46125"
06035,2024,12,2,"06093,06093"
35003,2022,6,3,"04009,04003,04009"
36113,2023,8,7,"36019,36033,50001,36033,36093,50001,50021"
20095,2020,3,1,20033
35017,2023,5,3,"35006,35053,35053"
17167,2024,4,1,17005
51137,2021,7,1,51540
17049,2025,6,2,"17159,17159"
18023,2023,2,3,"18181,18103,18181"
37031,2024,6,1,37177
06019,2021,7,4,"06079,06085,06079,06085"
49051,2024,7,2,"49009,49009"
06063,2023,5,5,"06011,06049,06049,06105,06105"
32015,2023,6,3,"32019,49003,49045"
56011,2022,6,2,"56009,56009"
47059,2020,7,3,"37199,37121,37199"
05037,2023,8,1,28143
31097,2022,5,2,"31147,31147"
36079,2024,5,3,"34031,34031,36005"
17095,2025,4,3,"19115,17123,17123"
20015,2024,2,1,40053
13183,2021,6,2,"13107,13279"
05115,2024,5,2,"05137,05137"
40041,2022,10,1,40105
51093,2022,5,2,"51740,51740"
13019,2025,6,1,13271
35059,2021,7,2,"08011,08011"
27075,2023,9,1,27061
30049,2025,5,4,"30047,30023,30057,30023"
01067,2021,12,1,13259
06017,2021,12,3,"32510,06013,32510"
06065,2024,9,4,"04027,04027,06037,06037"
29031,2023,1,4,"29123,29123,29186,29069"
51109,2021,5,1,51540
19153,2020,6,2,"19079,19079"
17201,2020,3,1,55055
40051,2021,7,2,"40033,40033"
22029,2022,5,9,"22047,22121,28063,22037,22121,28037,28063,22037,28037"
20051,2022,5,2,"20089,20123"
17191,2023,1,3,"17051,17051,17033"
13245,2023,1,8,"13107,13107,13125,13167,13301,13303,13301,13317"
37015,2022,6,2,"37185,37185"
13129,2023,4,11,"13067,13223,13233,13067,13121,13055,13233,13047,13055,13083,13047"
40153,2020,6,2,"20033,20033"
12099,2023,4,2,"12055,12055"
30013,2020,7,2,"30043,30077"
21225,2024,1,7,"17151,21139,21033,21139,21143,21033,21107"
40053,2021,7,2,"40103,40103"
31089,2024,8,5,"31011,31175,31011,31077,31175"
26077,2024,6,1,55101
47139,2025,6,1,37113
35043,2024,7,3,"35003,08021,35055"
19153,2023,7,2,"19079,19079"
48055,2021,5,2,"48287,48287"
18003,2024,2,1,39003
47111,2025,2,3,"21169,21053,47137"
48319,2020,5,1,48333
17099,2023,4,2,"17175,17175"
56003,2022,5,4,"56009,30031,56017,56017"
