stcofips,year,month,tier,month_t,deviation
05093,2022,9,mid,-1,-2.4258204719615435
05093,2022,9,mid,-2,-3.662120053517384
05093,2022,9,mid,-3,-3.0434691602550146
05093,2023,8,mid,-1,-2.1029948304830413
05093,2023,8,mid,-2,-2.4516545215740138
05093,2023,8,mid,-3,-2.6326867189123675
05095,2024,2,mid,-1,1.052325794794612
05095,2024,2,mid,-2,2.63720905634068
05095,2024,2,mid,-3,3.7985555334219043
05101,2023,6,mid,-1,-1.2149854773101794
05101,2023,6,mid,-2,-2.1886377972553817
05101,2023,6,mid,-3,-2.797903070192703
05105,2024,3,mid,-1,-0.5213626794099611
05105,2024,3,mid,-2,-0.9596938571662434
05105,2024,3,mid,-3,-1.580819895048549
05107,2022,5,mid,-1,2.062491892119411
05107,2022,5,mid,-2,5.084817677784272
05107,2022,5,mid,-3,7.31084310167634
05107,2025,5,mid,-1,-0.7455051772873702
05107,2025,5,mid,-2,-1.5301755911821715
05107,2025,5,mid,-3,-2.5526559925105374
05111,2022,5,mid,-1,1.2815928016592295
05111,2022,5,mid,-2,2.527422509924037
05111,2022,5,mid,-3,3.522406599984464
05113,2021,5,mid,-1,-0.9771671329944951
05113,2021,5,mid,-2,-1.7055549401834043
05113,2021,5,mid,-3,-2.7331511295097783
05113,2024,3,mid,-1,-0.23586026669001114
05113,2024,3,mid,-2,-0.42961627821286186
05113,2024,3,mid,-3,-0.4272000400705025
05129,2020,6,mid,-1,-2.45349943645229
05129,2020,6,mid,-2,-5.07554876703405
05129,2020,6,mid,-3,-7.663825605644803
05129,2021,4,mid,-1,-0.8662686300008033
05129,2021,4,mid,-2,-1.9609035056707143
05129,2021,4,mid,-3,-2.650426780864251
05129,2024,11,mid,-1,0.4928817535181338
05129,2024,11,mid,-2,0.34793071179707624
05129,2024,11,mid,-3,-0.28250513343067496
05141,2021,4,mid,-1,-0.9101132313370073
05141,2021,4,mid,-2,-1.5468528547716716
05141,2021,4,mid,-3,-1.8246237416743156
06001,2023,3,mid,-1,0.5462997442728721
06001,2023,3,mid,-2,1.041314083507956
06001,2023,3,mid,-3,1.681083707889556
06001,2024,12,mid,-1,0.2638153629616937
06001,2024,12,mid,-2,0.6165010130294917
06001,2024,12,mid,-3,1.2013455618121895
06003,2020,7,mid,-1,0.40330701721644857
06003,2020,7,mid,-2,0.7517260359084048
06003,2020,7,mid,-3,0.9729229276139364
06003,2023,5,mid,-1,0.32144088006977256
06003,2023,5,mid,-2,0.9112221185940399
06003,2023,5,mid,-3,1.5262631472134984
06005,2020,4,mid,-1,0.5239067536411994
06005,2020,4,mid,-2,1.0372730970020427
06005,2020,4,mid,-3,1.5936576031283636
06005,2021,10,mid,-1,0.13709161524266733
06005,2021,10,mid,-2,0.1656621784887733
