target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
47093,2022,7,64,"13147,47083,13149,47053,28137,47051,47017,12051,47005,28073,12029,47087,01013,13125,12027,13157,28065,13053,47127,47069,28091,01075,37055,13309,28037,01035,13037,47033,01133,01107,13195,37003,13317,47027,28057,13159,13013,01131,13291,13137,47097,13307,13259,13011,28013,37137,47039,13247,37185,47109,28063,28139,13301,13281,13221,13319,01057,28077,28027,13133,37141,47075,28141,45089"
48313,2023,4,32,"40093,40053,48243,40043,22091,48391,05111,40005,05077,48193,05039,48175,22037,05055,22107,22075,22121,48211,22123,05035,48127,40103,48007,40003,05021,05123,05107,05011,05003,48481,40129,22025"
47143,2021,8,47,"28113,47083,13149,37043,28137,28045,13269,47087,37121,12027,13053,13021,37127,28091,13141,28147,13005,13309,13143,13037,13231,13279,37199,01107,13317,28057,47171,13291,12041,47097,13259,13119,28013,47039,13117,13257,37113,47109,37075,13063,28139,13265,13301,13281,28027,28141,13197"
47099,2020,4,12,"13017,37121,12027,47069,13059,37199,12055,13283,13281,28009,12049,45089"
42055,2024,1,45,"39151,21023,54093,21233,51600,51685,18115,21055,21033,21061,18111,18045,21107,51735,21157,39021,42023,51063,21201,51570,51840,21139,54073,39169,51678,51770,42009,51790,51683,39007,51520,39003,51580,54067,42057,51660,39103,39085,51670,21143,39123,18149,18181,39173,51530"
18125,2021,6,27,"39055,39083,39115,51685,21173,51021,51720,51735,51820,21091,39099,21097,21115,21201,39143,18159,51540,21163,51690,51520,51580,51131,39103,39085,21143,18093,18101"
39035,2021,3,35,"21023,18169,21039,39137,39055,21233,39083,39115,51685,21173,51021,39077,51720,51735,51820,39021,21091,39099,18165,21115,21201,39143,18159,51540,21163,51690,51520,51580,18009,51131,39103,39085,21143,18093,18101"
17019,2023,4,86,"19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,19167,46073,19141,19145,27173,17051,31003,46023,27153,46099,31139,29155,19035,31159,27095,46045,27063,46125,19119,29123,38083,46097,27133,38019,17159,27159,27105,46101,27011,19129,17173,27041,38003,19143,46079,20209,31091,46111,29135,19189,17023,27081,17015,46083,19133,38095,38027,19115,27151,19165,17035,17175,27009,46127,31043,31147,38063,31015,19149,19021,46135,17033,17069,17147,31173,19195,46067,46011,38029,19059,29221,19093,46087,46027,29186,29003"
40089,2024,3,62,"40093,05065,40053,40119,05137,48247,40023,48323,48309,48153,48145,40045,40059,48487,40067,40043,40083,48455,40017,48289,40013,05037,48321,48391,48377,48431,40005,48123,22065,22107,48313,48109,05035,48379,48395,40103,48427,48407,40095,48475,48099,48161,40153,48007,48477,48281,40069,40009,40015,48429,48333,40003,05123,05107,48239,48093,48009,48397,05011,40129,48191,48047"
21095,2024,4,45,"39151,21023,54093,21233,51600,51685,18115,21055,21033,21061,18111,18045,51735,39021,42023,51063,21201,51570,21213,51840,21219,21139,54073,39169,51678,51770,42131,42009,51790,51683,39007,51520,39003,51580,42057,51660,39103,39085,51670,51630,39123,18149,18181,39173,51530"
