,nri_id,stateabbrv,county,risk_value,eal_valt,sovi_score,resl_score,crf_value,year
5886,C28135,MS,Tallahatchie,13025831.345605738,7862438.004117038,90.74427481,12.245547073791348,1.656716573,2025
5887,C28137,MS,Tate,3551687.2267341693,3671580.76976,31.217973985,52.5146,0.9673455248449654,2020
5888,C28137,MS,Tate,3789464.249526314,3917384.380450454,31.21797398502168,52.514599999999994,0.9673455248449654,2021
5889,C28137,MS,Tate,9271179.536958419,6815338.0500012385,74.37999725341797,34.849998474121094,1.3603403776804195,2023
5890,C28137,MS,Tate,13446174.934992244,11366006.722230325,54.67557252,36.704834605597966,1.183016627,2025
5891,C28139,MS,Tippah,3044244.725182489,3087856.78649,31.6909735909,51.950002,0.9858762681292985,2020
5892,C28139,MS,Tippah,2917671.6012984524,2959470.3672447028,31.690973590855343,51.950002,0.9858762681292985,2021
5893,C28139,MS,Tippah,7146815.939573143,5204197.527244827,84.30999755859375,23.200000762939453,1.3732791467192378,2023
5894,C28139,MS,Tippah,14482754.599179965,10110036.667454861,77.98982188,28.5941475826972,1.432512569,2025
5895,C28141,MS,Tishomingo,2962770.9312092746,2376103.25735,39.9290500591,53.004598,1.2469032741083685,2020
5896,C28141,MS,Tishomingo,2379431.447665656,1908272.6760559129,39.929050059124954,53.004598,1.2469032741083685,2021
5897,C28141,MS,Tishomingo,4185489.968050247,3379762.9271238325,65.4000015258789,24.889999389648438,1.2383975025171619,2023
5898,C28141,MS,Tishomingo,12195683.18153445,8518486.91242308,77.86259542,27.989821882951656,1.431672468,2025
5899,C28143,MS,Tunica,4544506.159816318,2619178.67047,56.8387859677,52.4688,1.7350882591758534,2020
5900,C28143,MS,Tunica,4700564.6371604,2709121.344290067,56.83878596767836,52.4688,1.7350882591758534,2021
5901,C28143,MS,Tunica,10058604.266826827,6510224.556613613,97.5199966430664,54.54999923706055,1.5450472067984942,2023
5902,C28143,MS,Tunica,11953777.712839883,7533646.993724843,94.17938931,69.78371501272265,1.586718587,2025
5903,C28145,MS,Union,3077597.370193219,3053692.38921,34.3713046906,55.011602,1.0078282216858794,2020
