,nri_id,stateabbrv,county,risk_val_2025,eal_valt_2025,sovi_score_2025,resl_score_2025,crf_value_2025,risk_val_2023,eal_valt_2023,sovi_score_2023,resl_score_2023,crf_value_2023,risk_val_2021,eal_valt_2021,sovi_score_2021,resl_score_2021,crf_value_2021,risk_val_2020,eal_valt_2020,sovi_score_2020,resl_score_2020,crf_value_2020
3025,C54045,WV,Logan,42414544.66685579,29790670.602769844,75.54071247,14.249363867684478,1.423752598,9926531.996598063,7098783.583263454,68.11000061035156,10.65999984741211,1.3983426709896452,4786156.530478135,4084685.615518666,36.34213638155301,50.524602,1.1717319228423404,6503871.516549454,5550648.05333,36.3421363816,50.524602,1.1717319228423404
3026,C54047,WV,McDowell,38155289.490795635,20512062.407691486,96.27862595,4.134860050890586,1.860139109,9831774.887854021,6720407.706921687,75.23999786376953,0.949999988079071,1.4629729797089215,8729363.843949355,5044065.51812999,52.22703981080016,48.307,1.7306206298417854,15601246.498472076,9014827.53034,52.2270398108,48.307,1.7306206298417854
3027,C54049,WV,Marion,31344503.15094985,29563026.065280963,41.88931298,76.39949109414759,1.060260309,3729145.692921992,3516715.4338274673,42.29999923706055,67.3499984741211,1.0604058710725204,2334556.6617902853,2077311.3851782768,38.825384312179736,55.9018,1.1238356841672688,4330504.561346179,3853325.37697,38.8253843122,55.9018,1.1238356841672688
3028,C54051,WV,Marshall,19952549.997015122,17779693.479133304,49.71374046,69.0203562340967,1.12221001,3176368.3868548763,3066773.1268637977,14.100000381469727,69.95999908447266,1.0357363441824452,2316919.2413970227,1863809.7383390921,39.73196689002759,52.857398,1.243109311931009,3157488.910710357,2539992.96796,39.73196689,52.857398,1.243109311931009
3029,C54053,WV,Mason,20436609.62574621,15497955.591059536,68.98854962,41.221374045801525,1.318664872,1845090.779019359,1710357.8247232584,24.920000076293945,37.27000045776367,1.0787747174003783,1200014.500762784,935842.2006994432,39.49546708711076,51.178598,1.2822829531152793,2600399.7497437065,2027945.34812,39.4954670871,51.178598,1.2822829531152793
3030,C54055,WV,Mercer,25733872.355163652,18456665.46860576,75.69974555,35.6234096692112,1.394286113,5341419.524745624,4095373.1215473395,82.18000030517578,33.959999084472656,1.304257113141255,3511327.0855263122,2413887.307185043,46.19629483642097,53.962402,1.4546358792619236,7713886.4727527825,5302967.28049,46.1962948364,53.962402,1.4546358792619236
3031,C54057,WV,Mineral,18114667.506620917,14706166.02388291,60.65521628,43.79770992366412,1.23177363,2371325.6346725402,2110609.4935671403,36.220001220703125,50.029998779296875,1.123526470386885,1843288.4440652055,1183430.7719818857,45.880961765865194,50.133799999999994,1.5575802891944912,3260553.8211854612,2093345.58469,45.8809617659,50.1338,1.5575802891944912
3032,C54059,WV,Mingo,32753870.442002214,17624353.814992383,93.89312977,1.8129770992366412,1.858443764,6349474.718202954,4535363.888390227,67.54000091552734,1.1799999475479126,1.3999923433831951,2829538.771269686,2633235.543582867,32.00630666141112,48.0864,1.074548297878329,3223117.950913331,2999509.61467,32.0063066614,48.0864,1.074548297878329
3033,C54061,WV,Monongalia,31437112.427818794,36322628.34786404,18.44783715,83.87404580152672,0.86549663,4562908.499747046,4421390.065016077,45.040000915527344,74.9800033569336,1.0320076791800668,1450084.2284658444,2041963.0027675065,21.71856523452897,54.81299800000001,0.7101422633517459,3085732.928946683,4345232.05869,21.7185652345,54.812998,0.7101422633517459
3034,C54063,WV,Monroe,9728249.895512186,6322331.553794916,84.00127226,14.662849872773537,1.53871239,1152369.3465702417,929730.4676910995,35.93000030517578,20.559999465942383,1.239466045930543,895230.0891385624,619313.3008140081,43.67363027197477,51.36099800000001,1.4455205272709257,2479161.5852337196,1715064.94613,43.673630272,51.360998,1.4455205272709257
3035,C54065,WV,Morgan,10333375.171119498,7667751.772416464,71.59669211,36.291348600508904,1.347640805,1784244.3677096025,1820942.5792520328,9.420000076293945,44.2400016784668,0.9798465849716664,1227336.6170417757,1104323.9306513409,34.804887662593615,50.6914,1.1113918506845004,2722560.203398033,2449685.23183,34.8048876626,50.6914,1.1113918506845004
3036,C54067,WV,Nicholas,20912420.457452193,14218440.58145078,82.6653944,40.394402035623415,1.470795643,2919561.052783344,2562662.74874155,36.540000915527344,32.150001525878906,1.1392685417607356,2112481.139914164,1843048.8082048555,36.65746945210879,51.954198,1.1461883866069382,4343744.511521903,3789729.99751,36.6574694521,51.954198,1.1461883866069382
3037,C54069,WV,Ohio,29709746.94421442,31538701.30623025,27.63994911,94.8473282442748,0.942009205,6995911.217726125,6393620.610283103,47.93000030517578,92.16999816894531,1.0942018058554077,6488845.8466807045,4390609.829973655,47.61529365392195,54.759598000000004,1.477891704788453,12584526.560928557,8515188.57583,47.6152936539,54.759598,1.477891704788453
3038,C54071,WV,Pendleton,10225328.978109559,9802315.58725009,37.21374046,25.127226463104325,1.043154435,2028210.4598201248,1797840.409653278,24.31999969482422,23.299999237060547,1.1281370965575719,991179.0841101429,853210.0431958372,36.26330311391408,50.784798,1.161705833182085,1266403.0662102238,1090123.70433,36.2633031139,50.784798,1.161705833182085
