target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
27127,2023,4,1,27173,81968.47174828335,80554.1989198359
51057,2023,7,1,51119,185239.9485565819,212832.23621381875
27035,2024,8,1,27095,217471.0863566572,194300.9615436556
12021,2022,7,1,12051,365241.54978127615,170990.80079028071
28071,2023,9,2,"28161,28107",218245.6795510128,91906.75106339817
47069,2023,8,3,"47109,47023,47075",72664.60760271357,82559.3337140534
38035,2024,5,1,38099,170674.8043530389,93991.29126037094
49045,2025,5,2,"32033,32007",381942.69552573416,178739.18672635028
13241,2022,9,2,"13281,13137",220446.6144218099,205663.69895038375
13069,2020,4,1,13017,76266.85073082484,38406.17529877139
28143,2022,5,2,"28137,28027",98834.2722668248,79393.79455420146
48167,2022,6,1,48071,217450.7972477069,233443.1446803024
21195,2020,2,1,21159,47944.19865067237,34355.91311114914
47047,2020,4,2,"47069,28009",168789.87579560812,66377.33404397374
18073,2020,5,1,18131,119332.3728991794,61949.93461180719
48013,2025,4,2,"48163,48493",140597.61736288771,158697.4723414096
06019,2024,12,2,"06069,06031",294371.3016374829,467446.55916280847
32017,2023,9,3,"49001,49027,49021",135782.63478774254,221869.1684418309
42105,2024,9,1,42023,81190.74953902398,42188.662437496045
42073,2021,6,1,39099,64828.96444018529,58050.12681770228
51089,2021,8,1,51690,71342.50792880387,41399.64479828458
12017,2025,7,1,12075,190716.34337442528,175102.18572060834
01101,2025,8,1,01085,70552.6050876156,78318.5770394708
39097,2021,7,1,39021,162234.64406678852,122209.90918583196
25005,2025,7,1,44005,404865.8696924808,493586.7463372108
28127,2024,1,1,28077,74567.49766653679,74445.15461073806
49013,2025,6,2,"49043,49009",247219.9031382221,429332.25330597855
53013,2020,5,1,53023,105757.468068069,96630.31731477148
20097,2020,6,1,20033,57704.36247164061,37214.85855513305
55093,2021,5,1,27163,193467.7422512679,266535.19263608305
30095,2024,8,1,30037,279409.5931053002,128703.22797295934
54083,2024,6,1,54093,86205.57457902381,102287.9324119954
39029,2024,3,1,39151,78378.55594548376,104223.39989542514
32007,2021,7,1,32013,220399.9531559229,174429.45135366637
49049,2021,7,1,49039,355499.10667544586,190592.47076653855
13031,2025,4,1,13109,179000.56950376133,89282.00252545923
55013,2023,6,1,55005,147283.9746936563,145298.72220652233
37043,2023,8,2,"13291,13281",201050.44817348535,224314.94325798214
08033,2025,6,1,08083,170113.4318184651,273093.5692340065
29087,2022,6,1,31147,95647.1401862456,54924.60936087967
22115,2022,3,1,22003,80817.37311669467,54457.79361433984
29205,2021,6,1,29103,61575.30804684098,62447.30915025872
13189,2024,5,3,"13317,13163,13301",123403.39520558927,70500.14051998775
51119,2021,9,1,51131,182124.2546992736,99199.1146078802
55133,2020,11,1,55055,251718.2500274699,167690.30080094433
45019,2022,7,1,45043,310102.6179758758,172571.6703917494
06029,2024,7,4,"06111,06031,06037,06079",259500.9246249596,554925.6017326236
30075,2020,7,1,56033,83777.23952972675,200345.1274653804
36119,2024,5,1,36005,468005.842503736,228243.59556062295
40071,2024,9,2,"40053,40103",53803.112621835375,63807.71699010316
22033,2021,3,2,"22047,22121",120362.32707504768,121006.36707817751
08015,2020,7,2,"08109,08065",308030.87909861095,145558.3452656179
13119,2024,8,1,13195,170448.68884868265,219214.09834650045
50005,2020,10,1,50017,116986.60935737957,139503.24155369334
12105,2021,4,1,12055,161057.25320703466,97242.49585060816
01043,2022,11,1,01133,158715.5458806101,85356.33524555374
30063,2020,5,5,"30061,16035,30089,30039,30077",251660.5468134482,122487.80477228886
13153,2020,11,1,13235,104030.56146091118,60231.51219288333
47109,2020,4,1,47069,64682.259126823155,54378.17452810381
21163,2025,5,2,"18025,18123",189121.22910168153,105915.12428590146
47189,2024,7,1,47169,353990.1933682431,225314.36080982455
48323,2022,6,1,48127,135658.72608783076,94341.07277636448
48159,2021,4,1,48119,131390.78317730222,72868.82221032184
30027,2023,5,2,"30015,30107",142607.50485130804,116395.08624737346
35045,2024,7,1,35031,185162.97939926537,146412.80844724367
08089,2023,10,1,08011,86435.24983915618,69722.90325924748
47079,2022,5,2,"47017,47005",100292.5086546503,87844.36065400572
39167,2025,5,1,54073,98062.34736164696,100555.38611294802
05031,2023,8,3,"29069,05055,05111",133364.93177473824,82650.89895107411
22117,2022,2,1,28091,73780.09466455883,84406.76144799874
55059,2024,4,1,55101,203821.46038768624,175521.74851411078
35001,2020,6,1,35006,159622.85092783775,58078.01117229886
26017,2021,6,1,26011,82792.68412495125,80084.72203265467
48187,2025,5,1,48493,233184.17043326297,230904.39930432328
26025,2023,6,3,"26149,26023,26059",90740.09354338337,103149.65536742924
05139,2025,9,2,"05011,05003",56744.55818903421,43344.93059444094
08045,2022,6,2,"49047,08107",366534.69080468593,369402.678392851
30067,2020,5,1,56029,238361.83478876145,181897.05589820343
21087,2021,2,1,21001,70560.51876928475,96234.38722621716
19027,2025,7,1,19047,113381.2660164383,92404.50828191348
21055,2025,9,4,"21139,21033,21143,21225",67552.41157412346,79410.23489774861
21027,2025,6,1,18123,94835.0647435063,119162.5809616458
08053,2022,7,2,"08051,08111",264638.1425868496,331229.1175741465
51069,2020,6,1,51840,210605.24058046337,163463.95798719578
01031,2022,6,1,01039,84518.78436180107,78990.41655741092
46023,2020,6,1,31107,,61290.13529199837
31015,2022,8,1,31103,103833.56495185645,103821.64506631329
28009,2025,5,2,"28139,47069",93479.4196016527,78034.01228691172
56039,2022,8,2,"56023,30031",931578.220548497,355844.5855963346
04015,2021,9,1,04012,199361.64720395984,114744.15659305394
28147,2023,4,4,"28085,28113,28077,28091",89883.21268917814,73894.05950055235
51005,2021,8,1,51580,81467.4183888265,38317.38616364019
24003,2025,7,2,"24029,24035",369045.1504102568,297921.68857384473
13175,2020,8,1,13283,78572.50963092688,53038.28751441149
28031,2022,7,1,28065,100281.22213293304,59234.31280399566
42085,2025,7,2,"39099,42039",89024.57523466082,80894.33220843962
51163,2025,7,2,"51678,51530",178665.1919551191,171175.78553565827
26115,2025,6,1,39095,155792.27283137396,79842.90705673584
18079,2025,4,1,18143,135470.03200379072,129837.26236230652
29223,2021,3,1,29179,66593.68419103471,71135.60047174507
54069,2022,5,1,54009,73596.8041127838,64630.999324021686
22061,2021,3,1,22027,122216.1998516054,91135.81311211913
12057,2020,6,1,12049,170886.79532816753,71373.69513807946
30029,2022,6,5,"30073,30049,30035,30099,30077",445115.9774624563,169040.65894077788
23011,2023,5,1,23023,190622.08492512835,264780.3538370771
42069,2024,7,1,42131,124150.2024850456,128909.5782337794
26037,2025,5,1,26117,194170.3479970233,132430.78286411506
51175,2021,7,1,37073,129315.93124590146,108651.79272994284
05031,2025,1,1,05067,130772.32840984705,50040.99708645072
18163,2025,9,1,18129,109404.65398300334,142736.89597647265
47147,2024,7,2,"21213,21219",278381.755179652,148244.5271139606
30001,2024,9,1,30023,249073.83740803596,183317.97475669204
19151,2023,6,1,19021,40837.95739989757,110091.1340346932
51169,2025,7,1,47067,92629.25980407216,84523.51481340105
16039,2025,7,1,16047,264821.97416104696,234144.18271308125
48215,2024,8,2,"48427,48047",123378.77134973912,69628.87396372114
47025,2025,9,4,"21013,47173,21235,47067",132654.40039088723,103492.2675364317
16003,2024,9,1,16087,266887.2585643867,247086.91872392673
39083,2022,7,1,39005,139925.5366005345,120037.40591731592
33007,2023,9,1,50009,137047.53954753836,117396.39876170194
54099,2025,1,1,21159,83933.68451318504,58668.379667394714
27097,2023,8,3,"27009,27153,27095",164156.9038293388,167604.92039701212
16001,2021,5,1,16015,375494.4627828092,236221.81471684572
35051,2020,2,1,35017,73920.2788921022,90347.1380510365
13299,2022,5,1,13005,71868.49833721627,56968.11185727892
31029,2024,8,1,31085,116689.95326687089,120862.78653448122
29045,2021,8,1,29103,143665.44030522334,65126.50024468444
16071,2022,8,1,16041,215664.30310808215,319589.60576366866
49017,2020,6,1,49021,87201.9547627816,170355.7381833375
29187,2022,5,1,29093,96213.52745743388,78028.20547404437
13043,2025,7,1,13109,101454.07443328832,83848.74012783707
13033,2025,6,1,13163,80384.61376330638,55256.23194810774
20157,2024,6,1,31095,55091.63824732181,54400.57173243752
12081,2020,9,2,"12027,12049",185922.34245652516,87402.64545965799
32005,2021,12,1,32510,466839.1684904894,344317.01020726864
46057,2021,9,2,"46011,46077",132503.15190187693,137770.46706272644
16043,2025,7,1,30057,271003.05495067494,422595.5655035724
42033,2025,3,1,42023,72309.12637560489,49924.50850225523
40039,2023,8,2,"40043,40129",74573.78303939133,69832.8796847999
33011,2023,9,1,33013,340882.225071697,308493.74256969563
29095,2023,8,1,20209,136319.9253018171,121222.7836424918
