target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
37173,2022,5,1,37099,489367.9546679932,1171867.9706546366
29019,2023,4,1,29135,484408.6246921955,381862.3224409835
31055,2020,7,4,"31153,31155,31177,19155",338748.9045359013,400335.2328756947
24025,2025,4,1,24029,600605.0291369614,743050.9923886308
37089,2020,10,1,37087,452911.6089658083,377837.3199856456
49057,2022,9,2,"49033,49029",666178.5885907634,1085778.135556642
40113,2024,6,1,40103,362850.04371220735,320498.7889096117
20131,2022,6,2,"31147,20013",442397.56150894257,292026.1076076267
13263,2025,2,2,"13053,13197",380130.4565183848,307324.3283704042
20001,2024,5,1,20107,229910.58866153617,345426.24956062675
48061,2024,7,1,48489,328901.38516880124,491148.6368147751
05147,2020,11,1,05123,158737.09343716502,171717.59298388797
48371,2024,5,1,48475,284298.69683424756,296780.5410795806
13197,2024,3,3,"13053,13307,13261",332665.70358768455,288765.2109521874
19103,2022,6,2,"19115,19183",451669.0309538171,308804.51637067716
31169,2020,6,2,"31151,31095",313242.0256948464,263713.8219497232
08099,2023,5,1,08011,289787.73195965216,273218.3791789265
41063,2020,2,1,53023,517966.54953693086,254133.7869266166
45075,2024,5,1,45011,283556.9625814263,267005.9985006121
56023,2021,8,1,16007,691465.536842028,630115.6867725985
21083,2023,6,1,47079,268604.8898415435,356879.7629115427
46027,2020,6,1,31027,310629.39028623473,417867.3344231564
53065,2024,9,1,53019,549704.9529836726,442426.2829566879
26117,2022,9,1,26037,322512.1027688787,413449.28713638335
40151,2020,6,1,20033,217784.9276127564,160130.01397567915
46115,2022,4,1,46005,363319.8281981149,384001.7989359941
01065,2023,6,1,01007,288908.66381493,329050.9803376221
27137,2020,6,2,"27071,27075",289827.49014884786,272701.069667401
51173,2021,3,1,51021,189727.8807313166,296702.1701309376
18095,2022,6,1,18159,274142.3842808663,335015.3351834992
30083,2024,8,1,30109,412957.3136415957,395013.40422181174
21157,2025,1,1,21139,326548.33516512805,240293.49334096292
20011,2024,4,1,20107,277270.18204387237,344357.0052517038
12081,2021,7,1,12027,599799.8545381172,362232.49763243785
12071,2020,12,1,12015,458213.722984687,393198.41037402
17025,2021,5,1,17079,186710.5593081843,251151.351663622
48351,2021,10,1,48241,281271.6405902141,341854.1902381975
48493,2021,10,1,48013,561822.1070350199,421892.3580164802
34027,2024,5,1,34031,968753.6778762504,700406.4507309893
21071,2021,7,1,21115,181515.76637427075,218374.5214310779
34015,2023,9,1,34011,473942.7139610206,333756.66285370965
21005,2025,5,1,21239,388589.49935338815,578007.0376550481
12085,2022,4,2,"12051,12043",872085.7041842373,390568.8711323588
19089,2020,6,1,19067,235192.26363458383,234549.03479059148
42121,2024,10,1,42039,233487.98893261055,238035.18098821
48485,2023,11,1,48077,271447.4300250297,381749.1684169545
35055,2021,8,1,08021,693182.3699802376,347260.21432948724
55129,2023,4,2,"55005,55107",478700.8539123265,367469.01963424124
05147,2022,4,2,"05123,05037",190940.01872695013,219898.20990342792
54085,2025,4,1,54073,237083.42728815076,265162.90645187674
40011,2023,5,2,"40043,40093",209161.4886962717,335180.0135635513
48469,2022,7,2,"48057,48239",344960.7224762869,443164.1547722621
51177,2024,7,1,51630,617569.8455732194,638777.3917038729
05043,2023,1,3,"05003,05017,05011",260013.1356226078,216562.79393018552
16085,2023,5,2,"16045,16003",1125307.7440370622,795531.104079636
23001,2022,12,1,23023,390929.84946007904,583923.4000132243
37167,2021,3,2,"37007,37179",348519.3011886782,397572.6422690602
08097,2022,7,2,"08037,08065",8650860.56846488,1816813.4277478722
17019,2023,2,1,17147,332628.6347421018,344570.43807136937
19081,2023,4,2,"19189,19195",282197.73207434715,252063.0700729678
13199,2021,1,1,13263,268486.2374853198,301277.5451679469
06047,2022,12,2,"06069,06085",551281.392079322,1850148.605979605
01091,2022,10,1,01131,299731.10070059315,286746.2626714836
45003,2020,12,1,45011,307254.7495132081,237690.79164306135
37111,2020,8,1,37121,331648.403612491,282803.5123173597
29055,2023,4,1,29221,343037.3613835033,295018.13343145774
18083,2024,7,2,"17033,18125",259006.09263135973,240298.26665764768
38021,2024,5,1,38045,282130.14231797314,306927.24699011754
55083,2020,8,1,55078,297800.25302940776,314785.89587501436
13163,2021,5,2,"13107,13301",237515.53612252188,229548.4014538638
21181,2023,7,1,21201,324130.41637123324,308476.80533442483
26107,2022,8,2,"26133,26085",355620.59182312194,285277.7119600956
01097,2024,12,2,"28041,28039",328618.5107484651,264076.5168181036
47049,2024,7,1,47137,399565.3737280403,396271.9212942915
17039,2023,4,1,17147,229315.87099681864,341263.02173749194
18017,2022,7,1,18015,236482.10811886247,331739.8800361722
18099,2025,4,1,18131,396457.7339102508,289553.1200342067
13119,2024,2,1,13195,446134.84048578585,415907.76457072067
45073,2022,2,3,"13257,13147,13137",566830.8734958699,451082.8703181211
34025,2022,5,1,34021,1030850.7294144623,665331.0247090278
46013,2023,5,2,"38081,46045",358980.13043564156,453078.48124129255
40057,2022,6,1,48197,222971.98418557807,193839.7937940998
29003,2020,7,1,20043,333798.0320825817,219757.51116352607
48239,2023,10,2,"48089,48481",455156.2077922299,579744.2021074567
27117,2021,4,5,"27133,27081,27101,46011,27083",359959.2419401842,407921.84283046576
51169,2025,2,1,47067,275223.36491533444,292497.0444840282
06023,2024,11,1,06093,621735.0058737806,447307.1310889835
38049,2023,6,1,38083,333854.5464249828,371929.2985763764
06107,2024,12,1,06031,489775.122472221,471534.61011813465
38019,2024,7,2,"38095,38099",243518.37690198433,249485.93964558683
05075,2024,12,1,05067,224175.56364747055,178437.05843125912
34035,2022,6,2,"34019,34021",866818.5821819473,724112.3798843365
40013,2022,1,1,40095,336164.60204282054,354166.2143627925
48079,2020,6,1,48017,143884.88916624195,215543.36875884625
51105,2025,5,3,"21095,21013,47067",193084.52804400775,210263.3144761912
36119,2022,9,2,"36005,36087",1272908.180364312,795333.7359979718
48135,2021,3,1,48461,327781.9889874048,237826.51252593935
06019,2025,3,1,06031,589643.3052758555,475829.5762599408
13099,2021,4,1,13037,226575.4559438054,223718.00740528284
04015,2022,2,1,04012,538886.0178155294,530830.9725391533
33015,2023,8,1,33013,821113.8877400318,603969.3560220626
21115,2020,6,1,21159,192329.3051485276,143286.98544181493
40071,2023,5,2,"40103,40053",215540.4425695502,308519.46070774586
55067,2020,7,1,55078,241076.80092661452,311048.9630433105
29223,2022,5,1,29093,231215.8294001967,265322.6556667504
19053,2025,5,2,"19185,19117",311385.8696176466,314909.38973310764
41017,2020,5,2,"41037,41025",754042.3267581426,256671.58622534177
31027,2025,4,1,31179,508869.3641452608,476482.0142158961
22099,2025,4,1,22007,277257.827804149,268858.4289220676
26105,2020,11,1,26101,312803.1055360671,313042.9172361996
40141,2021,7,1,40033,123526.33051836307,208398.749821917
29183,2021,5,1,17083,425878.0281661413,297924.39564844937
51153,2020,1,1,51685,564956.1085934807,416289.830123258
26039,2024,6,2,"26143,26119",267883.3646941275,314985.97969519754
